Post link,City,Neighborhood,Size,Number of rooms,Floor number,Taxes,Price,Room mates,Furniture,Elevator,Air conditioner,Parking,Balcony,Bars,Shelter,Storeroom,Renovated,Boiler,Pets allowed
zwtfs4vq,תל אביב יפו,הצפון הישן - דרום,62,2,,530,6500,1,1,1,1,0,1,1,1,1,1,1,1
rszt4cva,רמות ספיר,"שכונה י""א",50,2,1,,2000,1,1,1,1,1,1,1,1,1,1,1,1
gavysfqo,באר שבע,שכונה ט',76,3,3,590,2600,1,1,1,1,1,1,1,1,1,1,1,1
p6h9w7ve,הרצליה,"גן רש""ל",35,1,2,,3100,1,1,1,1,0,,1,1,1,1,1,1
yjrmz5e9,חיפה,אחוזה,115,3,2,1380,3850,1,1,1,1,0,1,1,1,1,1,1,1
xstqv27v,באר שבע,שכונה ה',75,3.5,3,,2800,1,1,1,1,1,1,1,1,1,1,1,1
qlza7rgt,קרית אונו,נאות אריאל שרון,133,5,23,,9000,1,1,1,1,1,1,1,1,1,1,1,1
dda4as3k,גבעת שמואל,רמת הדר,130,4,4,1500,6500,1,1,1,1,1,2,1,1,1,1,1,1
r91pe7vc,חולון,רסקו ב',35,1,1,,3200,1,1,1,1,0,,1,1,1,1,1,1
4s228qgf,באר שבע,שכונה ד',40,3,1,,1950,1,1,1,1,0,1,1,1,1,1,1,1
etbzvobm,חיפה,הדר עליון,35,1,1,,2150,1,1,1,1,0,,1,1,1,1,1,1
c4jltnfv,תל אביב יפו,נאות אפקה ב',90,3,1,,6700,1,1,1,1,1,,1,1,1,1,1,1
lwaq9m6r,חיפה,נווה יוסף,35,2,4,200,2100,1,1,1,1,0,,1,1,1,1,1,1
h5apwybx,נתניה,קרית השרון,147,6,6,1793,8800,1,1,1,1,1,1,1,1,1,1,1,1
bqlehehf,פרדס בחסכון,בית בפארק,145,5,11,,6800,1,1,1,1,1,1,1,1,1,1,1,1
yghaj8xn,קרית גת,מלכי ישראל,115,4,2,850,3500,1,1,1,1,0,,1,1,1,1,1,1
1v2azurc,עפולה,רוממה,65,3,8,550,2300,1,1,1,1,0,,1,1,1,1,1,1
anuksnfn,כפר סבא,ראשונים,90,4,4,750,4800,1,1,1,1,1,,1,1,1,1,1,1
f5ed25f2,באר שבע,שכונה ה',70,3,3,,2400,1,1,1,1,0,,1,1,1,1,1,1
qtqir51y,פתח תקווה,המרכז השקט / מרכז העיר,45,2,2,,4300,1,1,1,1,0,,1,1,1,1,1,1
zybj2own,נצרת עילית / נוף הגליל,צפונית / רסקו,60,2.5,2,,2100,1,1,1,1,1,1,1,1,1,1,1,1
k5vqkej7,חיפה,הדר מרכז,45,1,4,1,2000,1,1,1,1,0,2,1,1,1,1,1,1
bhokm30f,פתח תקווה,רמת ורבר,50,2.5,3,400,3400,1,1,1,1,0,1,1,1,1,1,1,1
8bpm513s,ראשון לציון,אברמוביץ',85,3.5,2,,5000,1,1,1,1,0,2,1,1,1,1,1,1
20tgn0s0,פתח תקווה,רמת ורבר,73,3,1,680,4000,1,1,1,1,0,,1,1,1,1,1,1
dtx0udgk,ירושלים,קרית שמואל,90,4,3,1594,8300,1,1,1,1,0,3,1,1,1,1,1,1
8wmx744x,חדרה,גבעת אולגה,105,4,8,,7800,1,1,1,1,1,1,1,1,1,1,1,1
ldpd2fdu,בת ים,דרום מזרח,120,5,6,1200,7000,1,1,1,1,1,2,1,1,1,1,1,1
tyv20kna,כפר סבא,מרכז,118,4.5,3,1100,4500,1,1,1,1,0,,1,1,1,1,1,1
be0p4yxz,רמת גן,נחלת גנים,23,1,2,,2950,1,1,1,1,0,,1,1,1,1,1,1
bevgvrnq,גבעתיים,ארלוזורוב,80,3,1,950,7300,1,1,1,1,0,,1,1,1,1,1,1
4vt1ct0o,רמלה,רמת דן וגבעת הדר,70,3,2,420,4000,1,1,1,1,1,1,1,1,1,1,1,1
pwgxqfep,חולון,רסקו ב',70,3,1,450,4700,1,1,1,1,0,,1,1,1,1,1,1
yuviaw29,רחובות,א' / צפון מזרח העיר,100,4,2,1000,4800,1,1,1,1,1,,1,1,1,1,1,1
48yzbwpz,כפר סבא,מרכז,133,5,4,500,5800,1,1,1,1,1,,1,1,1,1,1,1
ucbx87la,הרכבת,מונטיפיורי,63,2,16,620,9000,1,1,1,1,1,1,1,1,1,1,1,1
nwbs3312,חדרה,גבעת אולגה,121,4,3,1700,6500,1,1,1,1,1,1,1,1,1,1,1,1
wuh5bx14,תל אביב יפו,הצפון הישן - צפון,110,4.5,1,1,12000,1,1,1,1,0,,1,1,1,1,1,1
ocixoij2,חיפה,יזרעאליה,80,3,10,900,3300,1,1,1,1,0,,1,1,1,1,1,1
exlooaxm,קרית אונו,קיראון,109,4,1,,6000,1,1,1,1,0,1,1,1,1,1,1,1
2d0x6ndo,קרית הממשלה,גני שרונה,113,4,28,850,16800,1,1,1,1,1,1,1,1,1,1,1,1
b04c65rg,קרית מוצקין,מוצקין הותיקה,128,4.5,6,1260,3300,1,1,1,1,0,1,1,1,1,1,1,1
1ywyz8kn,ערמונים,נווה יהושע,16,1,,,2500,1,1,1,1,0,,1,1,1,1,1,1
fu2rl0ej,חולון,קרית שרת מזרח,59,3.5,2,620,4200,1,1,1,1,0,,1,1,1,1,1,1
nqi67u7x,מרכז העיר א,שכונת חשמונאים,38,2,1,380,3900,1,1,1,1,0,,1,1,1,1,1,1
7p528wch,קרית מוצקין,מוצקין הותיקה,40,2,1,300,1800,1,1,1,1,0,,1,1,1,1,1,1
hz2g49ui,פתח תקווה,המרכז השקט / מרכז העיר,50,2,3,,3300,1,1,1,1,0,,1,1,1,1,1,1
4fgovu23,באר יעקב,צמרות המושבה,150,5,9,1000,7750,1,1,1,1,1,1,1,1,1,1,1,1
qi6fl44e,בני ברק,קרית הרצוג,90,3.5,2,,4200,1,1,1,1,0,,1,1,1,1,1,1
ny4rw2c9,בת ים,רמת יוסף,74,3,3,620,4990,1,1,1,1,0,,1,1,1,1,1,1
6ow3uk2m,באר שבע,רמות,140,5,5,930,5900,1,1,1,1,1,2,1,1,1,1,1,1
nowvqdyw,בת ים,הגבול רוטשילד,100,5,3,,5500,1,1,1,1,0,,1,1,1,1,1,1
4yjru49r,ירושלים,קטמון הישנה,60,2.5,3,883,5200,1,1,1,1,1,,1,1,1,1,1,1
68phye4v,באר שבע,שכונה א',110,4,2,800,2900,1,1,1,1,1,,1,1,1,1,1,1
xwcsba7w,מגדל העמק,פנחס ספיר,65,3,3,350,1800,1,1,1,1,0,,1,1,1,1,1,1
uf3bbciu,תל אביב יפו,קרית שלום,60,3,3,370,4500,1,1,1,1,0,,1,1,1,1,1,1
mxrf9ipa,מערב ותיק,רמז,50,3,3,,4200,1,1,1,1,0,,1,1,1,1,1,1
f3hxvehc,באר שבע,שכונה ד',83,4,2,,2200,1,1,1,1,1,,1,1,1,1,1,1
yut3m467,באר שבע,שכונה ד',44,2.5,10,,2900,1,1,1,1,1,1,1,1,1,1,1,1
ew19x7fk,פרדס בחסכון,בית בפארק,175,6,1,,6250,1,1,1,1,1,1,1,1,1,1,1,1
0a6eqihj,קרית אונו,קיראון,80,3,4,560,3750,1,1,1,1,0,1,1,1,1,1,1,1
qqz703mr,חיפה,קרית אליעזר,50,2.5,1,,2300,1,1,1,1,0,2,1,1,1,1,1,1
6xwmaezy,קרית גת,כרמי גת,100,5,3,,4200,1,1,1,1,1,1,1,1,1,1,1,1
jn43kj80,המושבה האמריקאית-גרמנית,צפון יפו,140,4,1,500,9000,1,1,1,1,0,1,1,1,1,1,1,1
svf1koro,כרמיאל,רמת רבין,95,4,5,600,4100,1,1,1,1,1,1,1,1,1,1,1,1
2541inp7,פרדס חנה כרכור,מרכז כרכור,62,2,1,480,3000,1,1,1,1,1,,1,1,1,1,1,1
svn2jgwk,בית שמש,רמת האמוראים / רמת בית שמש ד-1,119,5,3,,5000,1,1,1,1,1,2,1,1,1,1,1,1
rjbbscf0,פסגת לוד,גבעת הזיתים,80,3.5,6,560,3650,1,1,1,1,1,,1,1,1,1,1,1
4qzz51nz,טירת כרמל,החותרים,109,4,3,,4500,1,1,1,1,1,2,1,1,1,1,1,1
vbvzfygr,באר שבע,שכונה ט',100,5,3,850,3600,1,1,1,1,0,,1,1,1,1,1,1
giakcpze,תל אביב יפו,רמת החייל,70,3,2,,6200,1,1,1,1,0,,1,1,1,1,1,1
rl6s3sdx,ירושלים,קטמונים,40,2,4,,3300,1,1,1,1,0,1,1,1,1,1,1,1
okonhf5f,באר שבע,שכונה ג',40,1,8,400,1400,1,1,1,1,0,,1,1,1,1,1,1
tlfxu6xm,כפר ורדים,שאר העיר,89,3,4,,4000,1,1,1,1,1,1,1,1,1,1,1,1
upg7ltx2,אשקלון,שקמים ואגמים,60,3,1,300,2300,1,1,1,1,0,1,1,1,1,1,1,1
n6t2r8jz,רמת גן,שיכון מזרחי,65,2.5,2,,4100,1,1,1,1,0,2,1,1,1,1,1,1
ccfhnkua,כפר יונה,יפה נוף,120,4,6,,5500,1,1,1,1,1,1,1,1,1,1,1,1
58x2sdwa,חיפה,קרית חיים מערבית,53,2,3,370,2000,1,1,1,1,0,1,1,1,1,1,1,1
lb5cttvl,חדרה,גבעת אולגה,75,3,4,488,3000,1,1,1,1,1,1,1,1,1,1,1,1
mnhbkvmx,בת ים,רמת יוסף,75,3,2,750,4000,1,1,1,1,0,1,1,1,1,1,1,1
k1u10isg,חיפה,בת גלים,60,3,1,,2900,1,1,1,1,0,1,1,1,1,1,1,1
40gj2ar6,חולון,תל גיבורים,120,5,2,,6850,1,1,1,1,1,1,1,1,1,1,1,1
h7gw271j,חיפה,קרית חיים מזרחית,60,2,2,200,2950,1,1,1,1,1,1,1,1,1,1,1,1
h5vi1795,מגדל העמק,פנחס ספיר,45,2,1,300,1850,1,1,1,1,1,,1,1,1,1,1,1
ou5r1zq8,נתיבות,נווה שרון / שער העיר,121,5,9,,3600,1,1,1,1,1,1,1,1,1,1,1,1
px9gsxsi,יקנעם עילית,רמת יקנעם,74,3,4,450,2600,1,1,1,1,1,1,1,1,1,1,1,1
vbze9524,תל אביב יפו,קרית שלום,70,3,1,500,4200,1,1,1,1,0,,1,1,1,1,1,1
r4myarhb,קרית אונו,המרכז,60,3,4,500,4500,1,1,1,1,0,1,1,1,1,1,1,1
yfouryvl,אשקלון,נווה דקלים,123,5,4,763,4700,1,1,1,1,1,1,1,1,1,1,1,1
9uodie4h,בת ים,עצמאות יוספטל,75,4,4,,5500,1,1,1,1,0,,1,1,1,1,1,1
ws0z4ze4,מגדל העמק,שאר העיר,120,5,2,500,4000,1,1,1,1,1,1,1,1,1,1,1,1
px5ol6gl,חיפה,קרית חיים מערבית,45,2.5,3,,2200,1,1,1,1,0,,1,1,1,1,1,1
a08vee3e,ראשון לציון,אברמוביץ',70,3.5,1,570,4301,1,1,1,1,0,,1,1,1,1,1,1
yq11ivqa,מודיעין מכבים רעות,נופים,143,5,4,,7300,1,1,1,1,1,1,1,1,1,1,1,1
o4a684re,קרית עבודה,מרכז,35,2,,320,3850,1,1,1,1,0,,1,1,1,1,1,1
hiqbgozx,מערב ותיק,רמז,86,3.5,2,670,5000,1,1,1,1,0,,1,1,1,1,1,1
50nnjabc,באר שבע,שכונה ט',120,4,8,1500,4000,1,1,1,1,1,,1,1,1,1,1,1
xcl2ylgr,פתח תקווה,הדר המושבות הותיקה / אם המושבות הותיקה,105,4,3,1200,5950,1,1,1,1,1,1,1,1,1,1,1,1
ks8dphwm,באר שבע,פארק הנחל,150,6,5,,4200,1,1,1,1,1,1,1,1,1,1,1,1
lp3o548t,עכו,גן מוטה גור,120,4,5,,3600,1,1,1,1,1,1,1,1,1,1,1,1
phwdyg47,באר שבע,מרכז אזרחי,80,4,,,3000,1,1,1,1,1,,1,1,1,1,1,1
xap3ly,ירושלים,רמות,18,1,1,,2500,1,1,1,1,1,1,1,1,1,1,1,1
56s9avp5,אשקלון,הסיטי,76,3,6,,3100,1,1,1,1,0,,1,1,1,1,1,1
ok3eje40,באר שבע,שכונה א',90,3,3,,2300,1,1,1,1,0,,1,1,1,1,1,1
ya9u9sm5,באר שבע,שכונה ב',98,4,4,,3000,1,1,1,1,0,,1,1,1,1,1,1
tjm9mrzc,באר שבע,מרכז אזרחי,100,4,4,1129,4500,1,1,1,1,1,1,1,1,1,1,1,1
im4i9en2,טירת כרמל,כהן,55,3,2,360,2400,1,1,1,1,1,,1,1,1,1,1,1
ki40ztua,באר שבע,שכונה ט',74,3,5,600,2700,1,1,1,1,1,,1,1,1,1,1,1
07ovpvzh,כפר סבא,תקומה,60,2.5,2,,3700,1,1,1,1,0,1,1,1,1,1,1,1
bufqn915,אשקלון,שקמים ואגמים,30,2,1,280,2400,1,1,1,1,0,1,1,1,1,1,1,1
4m2d8blf,חיפה,כרמל מערבי,85,3,2,,3900,1,1,1,1,0,,1,1,1,1,1,1
jtyfm16c,באר שבע,שכונה א',120,4,6,,3300,1,1,1,1,1,2,1,1,1,1,1,1
kfgi3uay,חולון,אגרובנק,150,4,3,1200,5800,1,1,1,1,1,,1,1,1,1,1,1
e1oyl3eg,בת ים,לב העיר,45,2,1,350,3500,1,1,1,1,0,,1,1,1,1,1,1
4wn62bgh,בת ים,לב העיר,80,3,6,,3400,1,1,1,1,0,,1,1,1,1,1,1
wxy9jads,סביניה,מרכז העיר,65,3,3,500,2950,1,1,1,1,1,,1,1,1,1,1,1
3kri33y1,נתניה,צפון מערב מרכז העיר,100,4,5,1300,7000,1,1,1,1,1,1,1,1,1,1,1,1
sk63nq62,חיפה,יזרעאליה,70,3.5,1,410,2300,1,1,1,1,1,1,1,1,1,1,1,1
mh65yiul,גבעתיים,ארלוזורוב,35,1.5,1,300,3200,1,1,1,1,0,,1,1,1,1,1,1
qoit6d39,הוד השרון,רסקו ג',45,3,1,,2500,1,1,1,1,0,,1,1,1,1,1,1
vvs0a75m,חיפה,כבאביר,70,3,1,,4600,1,1,1,1,0,,1,1,1,1,1,1
l4uo0had,חדרה,גבעת אולגה,80,4,3,520,3000,1,1,1,1,0,,1,1,1,1,1,1
r7depyls,רחובות,א' / צפון מזרח העיר,90,3.5,3,,4700,1,1,1,1,1,1,1,1,1,1,1,1
ge1pc97y,דימונה,נווה גן,75,3,5,,2000,1,1,1,1,1,1,1,1,1,1,1,1
k1f3rxa1,קרית גת,"צה""ל",54,3,3,400,2500,1,1,1,1,0,,1,1,1,1,1,1
ss30vdmo,באר שבע,שכונה ד',67,4,3,,3550,1,1,1,1,0,,1,1,1,1,1,1
kqf2xx5v,נתיבות,נווה שרון / שער העיר,126,4,2,,3000,1,1,1,1,1,1,1,1,1,1,1,1
mpf4s8eh,רמות ספיר,"שכונה י""א",59,3,3,588,2290,1,1,1,1,1,,1,1,1,1,1,1
9jzd4efc,טירת כרמל,כלניות,140,5,7,1200,9000,1,1,1,1,1,1,1,1,1,1,1,1
y069et70,באר שבע,שכונה ד',40,2,2,250,1800,1,1,1,1,0,,1,1,1,1,1,1
oqpymged,חיפה,תל עמל,55,3,3,350,2300,1,1,1,1,0,,1,1,1,1,1,1
0oworcbq,בני ברק,גבעת רוקח,90,4,2,,5200,1,1,1,1,0,1,1,1,1,1,1,1
qml8xbs0,גבעת שמואל,שאר העיר,134,5,6,,6700,1,1,1,1,1,1,1,1,1,1,1,1
d7wsmgbg,ירושלים,מרכז העיר,15,1,4,,2000,1,1,1,1,0,3,1,1,1,1,1,1
rcp8vjky,קרית מוצקין,מוצקין הותיקה,30,1.5,1,,1350,1,1,1,1,0,,1,1,1,1,1,1
31vsby4p,חולון,תל גיבורים,25,1.5,,,2850,1,1,1,1,0,,1,1,1,1,1,1
fztfxr7y,פרדס בחסכון,בית בפארק,128,5,10,,7000,1,1,1,1,0,1,1,1,1,1,1,1
gxxapqzf,חיפה,כרמל צרפתי,65,3,2,190,3200,1,1,1,1,0,,1,1,1,1,1,1
tz76y8pp,חיפה,כבירים,95,3,2,,3500,1,1,1,1,0,,1,1,1,1,1,1
lnau2uqh,באר שבע,שכונה א',80,3,1,,2800,1,1,1,1,0,,1,1,1,1,1,1
1lcy5pap,רמת גן,תל גנים,55,2.5,1,,4500,1,1,1,1,0,,1,1,1,1,1,1
ow1ffru2,ניצני עוז,ניצני עוז,120,4.5,1,600,5900,1,1,1,1,1,1,1,1,1,1,1,1
nano706c,עכו,הכרם ג',98,3,3,,3650,1,1,1,1,1,1,1,1,1,1,1,1
qu91g47u,באר שבע,סנטרל פארק / האצטדיון,110,4,9,1100,3750,1,1,1,1,1,1,1,1,1,1,1,1
xqll8kx7,אור עקיבא,נווה אור,115,4,5,,4100,1,1,1,1,1,1,1,1,1,1,1,1
3rnn7dgp,בית יעקב,התקוה,45,2.5,2,400,4400,1,1,1,1,0,,1,1,1,1,1,1
isqptcfe,חיפה,זיו,40,2,2,,2900,1,1,1,1,0,,1,1,1,1,1,1
vgm5eml1,גבעתיים,גבעת הרמבם,31,1.5,1,,3680,1,1,1,1,0,,1,1,1,1,1,1
26alv1pp,חיפה,הדר עליון,40,2,,300,2000,1,1,1,1,0,1,1,1,1,1,1,1
zksg6a3r,רמלה,רמלה מערב,127,5,15,1000,6000,1,1,1,1,1,1,1,1,1,1,1,1
n4o803c8,תל אביב יפו,נווה שאנן,95,4.5,2,,8800,1,1,1,1,0,,1,1,1,1,1,1
hb3s81u2,פרדס בחסכון,בית בפארק,152,6,2,1,5950,1,1,1,1,1,1,1,1,1,1,1,1
vwd4weyo,באר שבע,מרכז אזרחי,130,4,10,1100,3700,1,1,1,1,1,1,1,1,1,1,1,1
qww2veud,לוד,גני אביב,67,3,2,400,3000,1,1,1,1,1,,1,1,1,1,1,1
sg9l3fqh,יהוד מונוסון,"מכב""י",81,4,3,,4500,1,1,1,1,0,,1,1,1,1,1,1
w8m33udu,ראשון לציון,כצנלסון,96,3,5,,6500,1,1,1,1,0,,1,1,1,1,1,1
ombehivm,חריש,"מעו""ף",126,5,5,1400,2900,1,1,1,1,1,1,1,1,1,1,1,1
diale51y,פתח תקווה,המרכז השקט / מרכז העיר,70,3,2,612,4300,1,1,1,1,1,,1,1,1,1,1,1
wxxrdop2,פארק הים,דרום חדש,136,4,28,,8500,1,1,1,1,1,1,1,1,1,1,1,1
9kfqkzeo,חיפה,רמת הדר,120,4,9,1450,5000,1,1,1,1,1,1,1,1,1,1,1,1
g3caba0m,תל אביב יפו,נווה שרת,50,2,4,280,,1,1,1,1,0,1,1,1,1,1,1,1
3gxowwos,רמת גן,יד לבנים,100,3,1,,4500,1,1,1,1,0,3,1,1,1,1,1,1
4pl6ljad,באר שבע,שכונה ט',97,4,8,,3500,1,1,1,1,1,,1,1,1,1,1,1
cq5eg9ib,באר שבע,שכונה א',73,3,3,,2600,1,1,1,1,0,,1,1,1,1,1,1
od4so2po,אזור,בן גוריון,35,2,2,200,2900,1,1,1,1,0,,1,1,1,1,1,1
ahtcg9nf,טירת כרמל,"שז""ר / דקר",75,3,3,420,2000,1,1,1,1,0,,1,1,1,1,1,1
zv36get6,אשקלון,עיר ימים / הבלוט,106,4,3,,4500,1,1,1,1,1,1,1,1,1,1,1,1
d49euput,באר שבע,שכונה ט',76,3,9,620,3200,1,1,1,1,0,,1,1,1,1,1,1
xil6cr84,באר שבע,שכונה ג',65,3,2,,2100,1,1,1,1,0,,1,1,1,1,1,1
m029s964,קרית אתא,בן גוריון,75,3.5,1,450,3000,1,1,1,1,0,,1,1,1,1,1,1
26ti6rbr,רמת גן,רמת חן,120,5,2,2400,8000,1,1,1,1,0,,1,1,1,1,1,1
m66ay44g,באר שבע,שכונה א',65,3,2,,2300,1,1,1,1,0,1,1,1,1,1,1,1
c62raudc,אשקלון,נווה דקלים,96,4,1,,3600,1,1,1,1,1,,1,1,1,1,1,1
340d0qn5,גבעת התמרים,יפו ד',60,4,3,350,4850,1,1,1,1,0,,1,1,1,1,1,1
2fht13k8,חדרה,ניסן,125,5,3,1600,5200,1,1,1,1,1,1,1,1,1,1,1,1
2sy16p6l,בת ים,לב העיר,70,2,4,,3500,1,1,1,1,1,,1,1,1,1,1,1
ef1tzbwd,קרית מוצקין,מוצקין הותיקה,60,2,2,1,2250,1,1,1,1,0,,1,1,1,1,1,1
atmyw7e0,ראשון לציון,אברמוביץ',90,3,2,,4250,1,1,1,1,0,2,1,1,1,1,1,1
2ya3x1ms,תל אביב יפו,נווה שאנן,40,2,1,,3500,1,1,1,1,0,,1,1,1,1,1,1
fybx37m1,נתניה,מרכז העיר דרום,128,5,2,1400,4600,1,1,1,1,1,1,1,1,1,1,1,1
czksjyc4,באר שבע,שכונה ט',141,4,21,1700,5900,1,1,1,1,1,1,1,1,1,1,1,1
y61zznol,חיפה,כרמליה,84,4,1,1050,3850,1,1,1,1,1,1,1,1,1,1,1,1
9lru3gy0,חיפה,רמות רמז,70,3,8,750,3150,1,1,1,1,0,,1,1,1,1,1,1
lc0eawvk,אשדוד,רובע ב',68,3,3,450,3300,1,1,1,1,0,,1,1,1,1,1,1
d7zro6xk,מבשרת ציון,שכונה ט',75,3,1,650,5000,1,1,1,1,1,,1,1,1,1,1,1
4hsls8wu,גני ראשון,רביבים,100,4.5,4,670,4100,1,1,1,1,1,1,1,1,1,1,1,1
apmqcvxk,גבעת זאב,קרית יערים,60,2,1,1,3500,1,1,1,1,0,,1,1,1,1,1,1
35xl4lqh,רמת גן,תל בנימין,90,3,2,1300,7000,1,1,1,1,1,2,1,1,1,1,1,1
14n5bqvn,עכו,קרית וולפסון,55,3,2,,1900,1,1,1,1,1,,1,1,1,1,1,1
m1awqq09,חדרה,מרכז העיר,80,3,6,640,3300,1,1,1,1,1,1,1,1,1,1,1,1
26zvusvy,קרית מוצקין,מוצקין הותיקה,35,2,1,,2700,1,1,1,1,1,1,1,1,1,1,1,1
1ojr7p5n,מגדל העמק,קרית רבין,85,3,4,570,3150,1,1,1,1,1,1,1,1,1,1,1,1
c4y5nvsw,הרצליה,מרינה,45,1.5,11,700,11500,1,1,1,1,1,1,1,1,1,1,1,1
phzwm2e2,רחובות,ב' / צפון מערב העיר,100,4,1,,4300,1,1,1,1,1,2,1,1,1,1,1,1
0hnltpcy,רחובות,א' / צפון מזרח העיר,40,2,2,1,3500,1,1,1,1,1,,1,1,1,1,1,1
7qmmvfbk,קרית ביאליק,ביאליק דרום,30,1.5,,200,1800,1,1,1,1,0,,1,1,1,1,1,1
avquxb7u,חיפה,קרית שפרינצק,90,3.5,3,,3200,1,1,1,1,0,,1,1,1,1,1,1
nllmh4gs,בת ים,רמת יוסף,80,4,4,800,4300,1,1,1,1,0,,1,1,1,1,1,1
xepjpt17,ירושלים,רמות,88,4,8,,5500,1,1,1,1,1,1,1,1,1,1,1,1
v8osmlmv,תל אביב יפו,רמת אביב ג',235,5,9,,19000,1,1,1,1,1,2,1,1,1,1,1,1
l66b6nue,תל אביב יפו,הצפון הישן - דרום,26,1,,,5000,1,1,1,1,0,,1,1,1,1,1,1
imktxkbp,באר שבע,מרכז אזרחי,120,4,14,,4000,1,1,1,1,1,2,1,1,1,1,1,1
2kem2vq7,בת ים,רמת יוסף,50,1.5,11,10,3400,1,1,1,1,0,,1,1,1,1,1,1
5f8o38ab,תל אביב יפו,נווה אליעזר וכפר שלם מזרח,70,3,2,430,3650,1,1,1,1,0,,1,1,1,1,1,1
gy18t9qv,תל אביב יפו,אורות,29,1,10,,3900,1,1,1,1,0,,1,1,1,1,1,1
qy4vq4f3,ירושלים,פסגת זאב,110,4,1,800,6200,1,1,1,1,1,1,1,1,1,1,1,1
h4hlm582,בת ים,לב העיר,49,2,1,,3800,1,1,1,1,1,,1,1,1,1,1,1
qv1zmgjt,עלמון,עלמון,130,5,2,,5150,1,1,1,1,1,1,1,1,1,1,1,1
z90b04es,גבעת התמרים,יפו ד',77,3.5,4,,4350,1,1,1,1,0,,1,1,1,1,1,1
pjkxpxmv,קרית מוצקין,מוצקין הותיקה,92,4,2,,2900,1,1,1,1,1,,1,1,1,1,1,1
yxuzxw0w,טירת כרמל,החותרים,128,5,6,,5000,1,1,1,1,1,1,1,1,1,1,1,1
stkzoec8,רמת גן,שכונת הלל,70,2.5,2,670,4500,1,1,1,1,0,,1,1,1,1,1,1
76sz5mnq,קרית גת,כרמי גת,80,3,19,,3500,1,1,1,1,1,1,1,1,1,1,1,1
xqi4twd8,ירושלים,בקעה,80,4,3,,7200,1,1,1,1,0,1,1,1,1,1,1,1
uoc2xiby,מגדל העמק,שאר העיר,120,5,2,,3800,1,1,1,1,1,1,1,1,1,1,1,1
xcgh2u7r,סביניה,מרכז העיר,105,4,10,,3700,1,1,1,1,0,,1,1,1,1,1,1
zk3o78ih,באר שבע,שכונה ו',96,4,3,,4000,1,1,1,1,1,1,1,1,1,1,1,1
qtp4kc0f,חיפה,רוממה,90,4,1,960,3300,1,1,1,1,1,1,1,1,1,1,1,1
ydgc3ed7,רחובות,אבני חן,60,2.5,4,,2900,1,1,1,1,0,1,1,1,1,1,1,1
b5zrcz1p,באר גנים,באר גנים,70,2,2,,4000,1,1,1,1,1,2,1,1,1,1,1,1
lw9p205o,עכו,נווה אלון,70,3,8,,2500,1,1,1,1,0,,1,1,1,1,1,1
