Page number,City,Neighborhood,Size,Number of rooms,Floor number,Taxes,Price,Room mates,Furniture,Elevator,Air conditioner,Parking,Balcony,Bars,Shelter,Storeroom,Renovated,Boiler,Pets allowed
684929,באר שבע,טבנקין ,76,3,1,0,2500,0,1,0,1,1,0,0,0,0,0,0,0
684928,באר שבע,ה,100,4,7,0,3700,1,0,1,1,1,0,0,0,0,1,1,0
684926,חיפה,כל שכונה טובה,55,25,3,0,1650,0,1,0,0,0,1,1,0,0,0,0,1
684925,ירושלים,נווה יעקב,40,2,2,333,2550,0,0,0,1,1,0,1,0,0,1,1,0
684924,רמת גן,מרכז,100,35,2,0,5800,1,0,0,1,0,1,0,0,0,1,0,0
684923,בת ים,לב העיר,75,25,4,600,4500,0,0,1,1,1,0,1,0,0,1,1,0
684922,באר שבע,שכונה ט,124,4,2,0,4500,0,0,1,1,1,1,0,1,1,1,0,1
684921,אילת,צופית תחתית,60,3,3,1,3555,1,1,0,1,0,0,0,0,0,0,1,0
684920,חולון,רסקו ב,90,4,6,900,5500,0,1,1,0,1,0,0,0,0,0,1,0
684919,קרית גת,שד' לכיש מרכז שקט,70,35,4,200,2500,1,0,0,1,1,1,0,0,0,1,1,0
684918,קרית גת,שד' לכיש מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684917,קרית גת,שד' לכיש מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684916,קרית גת,שד' לכיש מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684915,קרית גת,שד' לכיש מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684914,חיפה,רמות בן גוריון רוממה החדשה,78,3,4,0,3000,0,1,0,1,1,1,0,0,0,0,0,0
684912,קרית גת,מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684911,קרית גת,מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684910,קרית גת,מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684909,קרית גת,מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684908,קרית גת,מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684907,קרית גת,מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684906,קרית גת,מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684905,קרית גת,מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684904,קרית גת,מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684903,קרית גת,מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684902,קרית גת,מרכז שקט,70,35,0,200,2500,0,0,0,1,1,1,0,0,0,1,1,0
684901,תל אביב יפו,הצפון הישן,95,35,3,0,8500,1,1,0,1,0,1,0,0,0,0,0,1
684900,ירושלים,נחלאות,18,1,0,150,2200,0,1,0,1,0,0,1,0,0,1,0,0
684899,בת ים,רמת הנשיא,60,3,3,620,3700,0,0,0,1,1,1,0,0,1,0,1,1
684898,בית שמש,ד2,125,4,0,0,4000,0,0,1,1,1,1,1,1,0,0,1,0
684897,בת ים,רמת הנשיא,60,3,1,650,3700,0,0,0,1,0,1,0,0,0,0,1,0
684896,טבריה,רמת כנרת,120,45,4,500,3000,0,1,0,1,1,1,0,0,0,1,1,0
684894,רמת גן,מרום נווה,44,2,0,508,3300,0,1,0,1,1,1,1,0,0,0,0,0
684893,תל אביב יפו,לב העיר,95,3,0,200,9000,1,0,0,1,1,1,1,0,0,0,0,1
684891,ירושלים,ארנונה,70,3,3,0,6300,0,0,1,1,1,1,0,1,1,0,1,0
684889,טירת הכרמל,גיורא,74,3,2,450,2400,0,0,0,1,1,1,0,0,1,0,1,0
684885,באר שבע,בזל,50,2,1,0,2600,0,1,0,1,1,1,0,0,0,1,1,1
684884,חיפה,הדר עליון,55,2,0,400,2600,0,0,0,1,1,1,0,0,0,0,0,0
684883,נהריה,יוספטל,80,4,1,450,2700,1,1,0,1,1,0,1,0,0,0,1,1
684882,חדרה,בית אליעזר,130,4,2,1650,4100,0,0,1,1,1,1,0,1,1,0,0,1
684881,קרית מוצקין,45,80,3,3,700,2600,0,1,0,1,1,0,0,0,0,0,0,0
684880,חדרה,הפארק,125,4,1,900,4500,0,0,1,1,1,1,0,1,1,0,1,0
684879,חדרה,הפארק,125,4,1,900,4500,0,0,1,1,1,1,0,1,1,0,1,0
684877,תל אביב יפו,הצפון הישן,70,3,1,0,7750,0,1,1,1,1,1,1,0,0,0,1,1
684876,חולון,דירה 3 חדרים,,47,0,500,3900,0,0,0,1,1,0,1,0,0,0,1,1
684875,לוד,נווה זית,55,3,2,300,2600,1,1,0,1,1,0,1,0,0,1,1,1
684873,חיפה,כרמל צרפתי,80,3,1,0,3500,1,1,0,1,1,1,0,0,1,1,1,0
684872,קרית גת,מגדים,80,3,3,0,2000,0,1,0,1,1,0,0,0,0,0,1,0
684871,בני ברק,פרדס כץ,85,3,3,814,4600,0,1,0,1,1,1,1,0,0,1,1,0
684870,בת ים,לב העיר,60,25,1,800,3800,0,0,0,1,0,1,1,0,0,1,1,0
684869,פתח תקווה,שעריה,75,3,2,1,4000,0,1,0,1,1,1,0,0,0,0,1,0
684867,הודיה,הודיה,100,45,0,0,3675,0,0,0,1,1,1,1,0,0,0,1,0
684866,שדרות,כלניות,132,4,8,550,3800,0,0,1,1,1,1,0,1,1,0,1,0
684865,הרצליה,דירה 4 חדרים,114,,1,0,8500,0,0,1,1,1,1,0,1,1,0,1,0
684863,תל אביב יפו,יפו ג' - נווה גולן,65,3,8,0,4800,0,1,1,1,1,0,1,0,0,1,1,1
684862,בת ים,רמת יוסף,75,3,3,800,3500,0,1,0,1,1,1,0,0,0,0,1,0
684859,תל אביב יפו,מרכז תל אביב,45,2,0,350,5300,0,1,0,1,0,0,1,0,0,1,0,0
684858,חיפה,קרית אליעזר,50,25,0,470,2600,0,1,0,1,1,1,1,0,0,0,0,0
684853,נתיבות,נווה שרון,89,3,5,0,2900,0,0,1,1,1,1,0,1,1,0,1,0
684851,תל אביב יפו,לב יפו,65,3,0,0,4600,0,0,0,1,1,1,1,0,0,1,1,0
684850,נתניה,פרדס הגדוד,75,3,1,0,3300,0,0,0,1,1,1,1,0,1,0,1,1
684849,בת ים,הלפר,69,3,1,700,4500,0,1,0,1,1,1,1,0,0,1,1,0
684848,פתח תקווה,כפר גנים א,107,45,4,0,5100,0,1,1,1,1,0,1,0,0,1,0,1
684847,נתניה,שוק נתניה,76,35,2,670,3400,0,1,0,1,0,0,0,0,0,1,1,0
684846,נתניה,שוק נתניה,78,35,2,670,3400,0,1,0,1,0,0,0,0,0,1,1,0
684845,נתניה,שוק נתניה,78,35,2,670,3400,0,1,0,1,0,0,0,0,0,1,1,0
684844,נתניה,שוק נתניה,78,35,2,670,3400,0,1,0,1,0,0,0,0,0,1,1,0
684841,הרצליה ,הרצליה ב׳,50,2,2,325,6000,0,0,1,1,1,1,0,0,0,0,0,0
684838,הרצליה,מרכז העיר,80,3,2,0,7500,0,1,1,1,0,1,0,0,0,0,1,1
684837,באר שבע,א,30,15,0,150,2200,0,0,0,1,1,1,0,0,0,1,1,0
684836,rרמת השרון /הרצליה,הכול,50,2,0,100,4000,0,0,0,1,0,0,0,0,0,0,0,0
684835,תל אביב יפו,שכונת התקווה,45,2,2,0,4000,0,1,0,1,0,0,0,1,0,1,1,0
684834,דימונה,מרחבים,80,35,3,0,2150,0,1,0,1,1,0,1,0,0,1,1,0
684833,דימונה,מרחבים,80,35,3,0,2150,0,1,0,1,1,0,1,0,0,1,1,0
684832,חולון,קרית שרת,50,2,2,450,3400,0,0,0,1,1,0,1,0,0,1,1,1
684831,דימונה,מרחבים,80,35,3,0,2150,0,1,0,1,1,0,1,0,0,1,1,0
684827,קריית ביאליק,סביניה,98,45,2,965,3600,0,0,1,1,1,1,0,0,1,0,1,0
684826,גבעתיים,תל גנים,105,5,3,0,5850,1,1,0,1,1,1,0,0,0,1,1,0
684825,פתח תקווה,עין גנים,78,35,4,0,3500,1,1,0,1,1,1,0,0,1,0,0,0
684824,פתח תקווה,עין גנים,78,35,4,0,3500,1,1,0,1,1,1,0,0,1,0,0,0
684823,רחובות,קרית משה,61,3,4,450,2900,0,1,0,1,1,1,1,0,0,0,1,0
684821,ראשון לציון,נחלת יהודה,55,2,0,0,3500,0,1,0,1,1,0,1,1,0,1,1,0
684792,פרדס חנה - כרכור,נוה,60,2,0,0,2600,0,1,0,1,1,1,1,0,0,0,1,1
684791,פרדס חנה - כרכור,נוה,60,2,0,0,2600,0,1,0,1,1,1,1,0,0,0,1,1
684785,ראשון לציון,קרית ראשון,130,5,3,1200,6700,0,1,1,1,1,0,1,0,0,1,1,1
684784,תל אביב יפו,צפון תל אביב,120,4,1,2200,8300,0,0,0,1,1,1,1,0,0,0,0,1
684781,נתניה,דירה 4 חדרים,109,38,4,1050,6200,0,0,1,1,1,1,0,0,0,1,1,0
684780,רחובות,נווה יהודה,27,15,2,0,3000,0,0,1,1,1,0,0,0,0,1,0,0
684779,חיפה,הדר,25,1,0,200,1300,0,1,0,1,0,0,1,0,0,0,0,0
684778,חיפה,הדר,25,1,0,200,1300,0,1,0,1,0,0,1,0,0,0,0,0
684777,תל אביב יפו,יד אליהו,75,3,2,120,5750,0,1,0,1,1,1,0,0,0,1,0,0
684776,כפר יונה,שרונה,147,5,3,0,5700,0,0,1,1,1,1,0,1,1,0,1,1
684775,כפר יונה,שרונה,147,5,3,0,5700,0,0,1,1,1,1,0,1,1,0,1,1
684774,באר שבע,ו החדשה,110,4,1,500,3300,1,1,0,1,1,0,1,0,1,1,1,1
684773,קרית אונו,קראון,90,4,0,860,4400,0,0,0,1,1,0,0,0,0,0,1,1
684772,קרית אונו,רקפת,90,4,3,0,860,0,0,0,1,1,0,0,0,0,0,1,1
684764,פרדס חנה - כרכור,מרכז המושבה,90,3,6,0,4500,1,0,1,1,1,1,0,1,0,0,1,0
684763,רחובות,נווה יהודה,75,3,2,730,4200,0,1,0,1,1,0,0,0,0,0,0,0
684762,תל אביב יפו,יד אליהו,100,4,1,0,8300,0,0,0,1,1,0,0,1,0,1,1,0
684761,בית שמש,רמת בית שמש ד',97,4,0,0,3900,0,1,1,1,1,1,1,1,0,0,1,0
684760,רמת גן,מרכז,125,5,1,1500,8200,0,0,1,1,1,1,0,1,1,0,0,1
684759,רמת גן,מרכז,125,5,1,1500,8600,0,0,1,1,1,1,0,1,1,0,0,1
684758,רמת גן,מרכז,125,5,1,1500,8600,0,0,1,1,1,1,0,1,1,0,0,1
684756,תל אביב יפו,לב העיר,100,4,7,0,14500,0,0,1,1,1,0,0,0,0,1,0,0
684755,נתניה,מרכז העיר,40,2,0,0,3000,0,1,0,1,1,0,0,0,0,0,0,1
684753,אשדוד,רובע ו',60,25,0,0,2750,0,0,0,1,0,0,0,0,0,0,0,0
684751,רמלה,נווה דורון,125,5,2,0,5700,0,0,1,1,1,1,0,1,0,0,1,0
684750,חולון,תל גיבורים,70,3,1,700,4000,0,0,1,1,1,0,1,0,0,0,1,1
684748,בני ברק,קרית הרצוג,70,3,2,0,3700,0,0,0,1,0,1,1,0,0,1,1,0
684747,בת ים,.,60,2,4,0,3300,0,1,0,0,0,1,0,0,0,0,0,0
684746,בת ים,שיכון ותיקים,70,3,1,750,4000,0,0,0,1,1,0,0,0,0,0,0,0
684745,באר שבע,ו' החדשה ,104,4,8,0,2900,1,1,1,1,1,0,1,0,0,0,0,0
684744,רמת גן,הראשונים,120,4,6,0,2500,1,1,1,1,1,1,1,0,0,1,1,0
684743,רמת גן,הראשונים,120,4,6,0,2500,1,1,1,1,1,1,0,0,0,1,1,0
684742,רמת גן,הראשונים,120,4,6,0,2500,1,1,1,1,1,1,1,0,0,1,1,0
684741,רמת גן,הראשונים,120,4,6,0,2500,1,1,1,1,1,1,1,0,0,1,1,0
684740,בת ים,רמת הנשיא,70,3,2,0,4000,0,1,0,1,1,0,0,0,0,0,1,0
684739,מעלה אדומים,כלי שיר,100,45,3,0,3850,1,1,0,1,1,1,1,0,1,0,1,1
684736,רמת גן,הרא,120,4,0,0,,1,1,1,0,0,1,1,0,0,0,0,0
684735,תל אביב יפו,יפו ד` - גבעת התמרים,60,4,3,350,4850,1,1,0,1,0,0,0,0,0,1,1,0
684733,הרצליה,מרכז,120,35,3,0,5300,0,1,0,1,1,0,0,0,0,0,0,0
684732,זכרון יעקב,המושבה,39,2,4,0,2200,0,1,1,1,1,1,0,0,0,1,1,0
684731,חיפה,כרמל צרפתי,90,3,0,600,1500,1,1,0,1,1,0,0,0,0,1,1,0
684730,נתניה,סלע,90,3,4,200,3000,1,1,0,1,1,0,0,0,1,1,1,1
684729,נתניה,סלע,90,3,4,200,3000,1,1,0,1,1,0,0,0,1,1,1,1
684728,חולון,גרין ועם,68,3,2,620,3700,1,0,0,1,1,1,0,0,0,1,0,1
684727,קרית גת,השופטים,78,35,4,577,2500,0,1,0,1,1,0,0,0,0,1,0,1
684726,חיפה,רמות רמז,80,35,2,500,3400,1,1,0,1,1,1,0,0,1,1,0,1
684725,ראשון לציון,רמז,70,3,2,570,3900,1,1,0,1,1,0,0,0,0,0,1,0
684724,ירושלים,הרובע היהודי,200,4,0,0,35000,0,0,0,1,1,0,0,0,0,0,0,0
684723,בת ים,שיכון ותיקים,81,35,1,0,4800,0,1,0,1,1,1,0,0,0,1,1,0
684722,באר שבע,ג,66,3,1,630,3400,0,1,1,1,1,1,1,1,0,0,1,0
684720,חולון,רסקו ב',100,4,4,990,5200,0,0,1,1,1,0,0,0,0,0,1,0
684719,בת ים,רמת יוסף,50,2,0,0,3500,1,0,0,1,1,1,1,0,1,0,1,1
684718,עכו,הכרם ג,120,4,1,0,4800,0,0,1,1,1,1,0,1,1,0,1,0
684717,עכו,הכרם ג ,120,4,1,0,4500,0,0,1,1,1,1,0,1,1,0,0,0
684716,נצרת עילית,רסקו,64,3,2,400,2000,0,1,0,0,1,1,0,0,0,1,0,0
684715,באר שבע,ד,100,4,3,700,3400,1,1,0,1,1,1,1,0,0,1,1,1
684714,גבעתיים,בורוכוב,50,2,1,600,4600,0,0,1,1,0,1,1,0,0,1,0,1
684712,נתיבות,ליד גבעת שפרה,95,4,3,0,2800,0,0,0,1,1,0,1,0,0,1,1,0
684711,פתח תקווה,כפר גנים א,140,6,4,0,8500,0,1,1,1,1,1,0,1,0,0,1,0
684710,חיפה,הדר,25,15,3,0,1500,0,1,0,1,0,0,0,0,0,1,0,0
684708,רמת גן,שכונת הגפן,70,3,1,600,3800,1,1,0,1,1,0,0,0,0,0,1,1
684706,חולון,קרית העבודה,55,2,2,540,3300,0,0,0,1,1,0,0,0,0,1,1,1
684705,תל אביב יפו,הצפון הישן,64,25,4,440,6000,0,0,0,1,1,1,0,0,0,0,1,0
684704,תל אביב יפו,נווה שאנן,35,15,2,0,2750,0,1,0,1,1,1,0,0,0,0,0,0
684703,תל אביב יפו,נווה שאנן,35,15,2,0,2750,0,1,0,1,1,1,0,0,0,0,0,0
684702,תל אביב יפו,ביצרון,102,4,1,600,8500,0,0,1,1,1,1,0,1,0,1,1,0
684701,תל אביב יפו,ביצרון,102,4,1,600,8500,0,0,1,1,1,1,0,1,0,1,1,0
684700,נשר,רמות יצחק,85,35,6,400,3300,1,1,1,1,1,1,0,1,1,0,1,1
684699,קרית טבעון,קרית עמל,58,2,2,450,3000,0,1,0,1,1,0,0,0,0,1,0,1
684697,תל אביב יפו,נווה כפיר,70,35,7,440,5500,1,1,1,1,1,0,1,0,0,1,0,1
684696,קרית ים,גלי ים,82,35,0,0,3700,0,0,1,1,1,1,0,1,1,0,1,0
684693,באר שבע,ג,125,4,0,950,3500,1,1,1,1,1,1,0,1,1,1,0,1
684692,רמת גן,רמת יצחק,58,25,3,520,4000,0,0,0,1,0,1,0,0,0,0,1,1
684690,תל אביב יפו,מתחם פארק צמרת,88,3,0,0,13000,0,0,1,1,1,1,0,1,1,0,0,1
684689,בת ים, ניצנה,106,4,0,0,4500,0,0,0,0,1,1,1,0,0,0,1,1
684687,תל אביב,מגדל רום,88,3,0,0,13000,0,0,1,1,1,1,0,1,1,0,0,1
684686,רמת גן,שאר העיר,25,1,1,0,3200,0,1,1,1,1,1,0,0,0,1,0,1
684685,ראשון לציון,אברמוביץ,75,25,3,0,3900,0,1,0,1,1,0,0,0,0,0,0,1
684683,באר שבע,ג,60,3,0,440,2300,0,0,0,1,1,0,0,0,0,0,0,0
684678,באר שבע,ו`,75,3,4,0,2000,0,1,0,1,1,1,0,0,1,1,1,0
684677,בת ים,עמידר,56,25,4,0,3300,1,1,0,1,1,0,1,0,0,1,1,1
684675,פתח תקווה,כפר גנים א,140,6,4,0,8500,0,1,1,1,1,1,0,1,0,0,1,0
684674,רמת גן,הראשונים,120,45,5,0,8500,0,1,1,1,1,0,0,0,0,1,0,0
684673,מגדל העמק,מגדל אור,89,4,3,661,2400,1,0,0,1,1,1,0,0,1,0,1,1
684672,חיפה,הדר עליון,80,25,3,700,1600,0,1,0,1,1,1,0,0,0,0,1,1
684671,חיפה,הדר עליון,80,25,3,700,1600,0,1,0,1,1,1,0,0,0,0,1,1
684670,קרית חיים,קרית חיים מזרחית,100,4,1,0,3500,0,0,0,1,1,0,0,0,1,0,0,0
684669,ראשון לציון,רמב``ם,60,3,1,0,4800,0,0,0,1,0,1,0,0,0,1,0,0
684668,חיפה,מרכז הכרמל,70,25,1,950,3400,1,0,0,1,1,0,0,0,0,1,1,1
684667,באר שבע,ד,80,3,3,500,3000,1,1,0,1,1,0,1,0,1,1,1,1
684666,רמלה,משכנות,65,3,1,250,3300,0,0,0,1,1,0,1,0,0,1,1,1
684665,רמלה,משכנות,65,3,1,250,3300,0,0,0,1,1,0,1,0,0,1,1,1
684660,רחובות,מרכז,60,3,0,180,4000,0,0,0,1,1,0,0,0,0,1,1,0
684659,בת ים,מרכז,106,4,0,0,4900,0,1,0,0,1,1,1,0,0,0,1,1
684658,חולון,עם,70,3,0,0,4500,1,1,0,1,1,1,1,1,0,0,0,0
684657,חולון,רסקו א',71,3,4,650,4500,1,1,1,1,1,0,1,0,1,1,1,1
684656,באר שבע,סיגליות,112,4,3,1000,4200,0,0,1,1,1,1,0,1,1,0,1,0
684655,תל אביב יפו,מרכז,70,25,2,450,11000,1,1,1,1,0,1,1,0,0,1,1,0
684654,קרית חיים,קריית חיים,65,3,0,0,2500,0,1,0,1,1,0,0,0,0,0,0,0
684653,אשדוד,רובע ו,80,4,1,0,3000,0,0,0,1,1,0,1,0,0,0,1,0
684651,בת ים,לב העיר,70,25,2,750,4400,0,0,0,1,1,0,0,0,0,1,1,0
684650,בת ים,וותיקים,70,25,2,750,4400,0,0,0,1,1,0,0,0,0,1,1,0
684649,ראשון לציון,ציון,125,5,1,0,6500,0,1,1,1,1,1,1,0,0,1,0,0
684648,ראשון לציון,ציון,125,5,1,0,6500,0,1,1,1,1,1,1,0,0,1,0,0
684646,נשר,גבעת נשר,60,3,3,400,2500,1,1,0,1,1,0,1,0,0,1,1,1
684644,תל אביב יפו,קרית שלום,55,2,4,260,4200,0,1,0,1,0,0,0,0,0,1,0,1
684643,תל אביב יפו,נווה אליעזר וכפר שלם,60,2,3,0,3800,0,1,0,1,1,0,0,1,0,0,1,0
684641,קרית אונו, שטרן,100,4,1,0,6500,0,0,1,1,1,1,0,1,1,1,1,0
684639,ראשון לציון,ראשון וותיקה,70,3,2,700,4550,0,1,1,1,1,0,0,0,0,1,1,0
684638,חיפה,הדר,126,4,1,850,4300,1,0,0,1,1,1,1,0,0,1,1,1
684636,כפר יהושע,הרחבה,65,25,2,0,3500,0,1,0,1,1,1,0,0,0,1,0,0
684635,ירושלים,רחביה,76,3,0,0,8000,0,0,0,1,1,1,1,0,0,1,1,0
684631,חיפה,מרכז הכרמל,90,35,1,1100,3750,1,1,0,1,1,1,1,0,0,0,1,0
684629,חיפה,נווה שאנן,97,4,1,750,4000,1,1,0,1,1,1,0,1,0,1,0,1
684627,בני ברק,הר שלום,100,5,1,0,6100,0,1,0,1,1,1,1,0,0,0,0,0
684626,הרצליה,מרכז העיר,90,4,0,400,1200,0,0,1,1,1,0,1,0,1,0,0,0
684625,תל אביב יפו,יפוד,70,3,3,350,4000,1,1,0,1,1,1,0,0,0,0,1,0
684624,הרצליה,הרצליה הצעירה,145,6,2,0,9500,0,0,1,1,1,1,0,1,1,0,1,1
684622,בית שמש,רמת בית שמש ד,110,4,1,800,5000,0,0,1,1,1,1,1,1,1,1,1,0
684621,תל אביב יפו,הצפון הישן,70,25,2,450,11000,1,1,1,1,0,1,1,0,0,1,1,0
684620,תל אביב יפו,יפו ג' - נווה גולן,71,35,8,0,4600,0,1,1,1,1,0,0,0,0,0,1,0
